"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.821235807E1,1.931197580E1,-9.918499695E1,2.323035094E3,2.315142822E3,5.949999809E0,2.766000061E2,4.385408025E-1,3.790092468E0,3.770691156E0,1.700000000E1
9.921235807E1,1.931198541E1,-9.918505033E1,2.322933127E3,2.315040771E3,6.539999962E0,2.731000061E2,4.452623983E-1,3.986353159E0,4.327306747E0,1.500000000E1
1.002123581E2,1.931199297E1,-9.918511388E1,2.323146127E3,2.315253662E3,7.409999847E0,2.771000061E2,4.510251434E-1,4.051501751E0,4.444756031E0,1.900000000E1
1.012123581E2,1.931198933E1,-9.918516866E1,2.320388187E3,2.312495605E3,6.619999886E0,2.761000061E2,4.568399401E-1,3.967882633E0,4.403432369E0,1.600000000E1
1.022123581E2,1.931199898E1,-9.918522312E1,2.319986174E3,2.312093506E3,6.719999790E0,2.800000000E2,4.635178949E-1,3.987107038E0,4.505812168E0,1.700000000E1
1.032123581E2,1.931201845E1,-9.918528332E1,2.319575116E3,2.311682373E3,7.030000210E0,2.857999878E2,4.698251344E-1,3.882335663E0,4.544976234E0,1.600000000E1
1.042123581E2,1.931203650E1,-9.918534030E1,2.320383782E3,2.312490967E3,6.789999962E0,2.953999939E2,4.765631394E-1,3.881335497E0,4.637553215E0,1.600000000E1
1.052123581E2,1.931206893E1,-9.918539454E1,2.321517605E3,2.313624756E3,6.590000153E0,3.082000122E2,4.836061032E-1,4.004396439E0,4.921878815E0,1.600000000E1
1.062123581E2,1.931211017E1,-9.918544548E1,2.322323765E3,2.314430908E3,6.699999809E0,3.175000000E2,4.901030524E-1,4.057706356E0,5.079033852E0,1.600000000E1
1.072123581E2,1.931215790E1,-9.918548119E1,2.321151120E3,2.313258301E3,7.150000095E0,3.282000122E2,4.979673181E-1,4.032545090E0,5.012522697E0,1.700000000E1
1.082123581E2,1.931221498E1,-9.918552544E1,2.321035356E3,2.313142578E3,7.480000019E0,3.340000000E2,5.051496389E-1,4.049631119E0,4.997198105E0,1.300000000E1
1.092123581E2,1.931227488E1,-9.918555105E1,2.320811883E3,2.312919189E3,7.909999847E0,3.366000061E2,5.124605385E-1,4.190233707E0,5.108064175E0,1.700000000E1
1.102123581E2,1.931233651E1,-9.918557532E1,2.321721215E3,2.313828613E3,7.480000019E0,3.355000000E2,5.195404329E-1,4.116650105E0,4.894002438E0,1.700000000E1
1.112123581E2,1.931239440E1,-9.918560341E1,2.322868357E3,2.314975830E3,7.070000172E0,3.392000122E2,5.269074562E-1,3.971794844E0,4.685080528E0,1.800000000E1
1.122123581E2,1.931245499E1,-9.918563181E1,2.322610707E3,2.314718262E3,6.219999790E0,3.407999878E2,5.336267780E-1,3.839153051E0,4.485422611E0,1.900000000E1
1.132123581E2,1.931251089E1,-9.918565613E1,2.323045443E3,2.315153076E3,6.710000038E0,3.387999878E2,5.401447263E-1,3.977689981E0,4.370892525E0,1.700000000E1
1.142123581E2,1.931256528E1,-9.918567929E1,2.322945269E3,2.315052979E3,6.670000076E0,3.380000000E2,5.469036549E-1,4.080205441E0,4.188803673E0,1.300000000E1
1.152123581E2,1.931262246E1,-9.918570114E1,2.322806266E3,2.314914062E3,6.000000000E0,3.381000061E2,5.527546821E-1,4.006488800E0,4.106551647E0,1.600000000E1
1.162123581E2,1.931267170E1,-9.918572080E1,2.323226604E3,2.315334473E3,5.269999981E0,3.392000122E2,5.576360110E-1,4.087381840E0,4.035806656E0,1.500000000E1
1.172123581E2,1.931271307E1,-9.918573636E1,2.323407694E3,2.315515625E3,4.530000210E0,3.367000122E2,5.621588136E-1,4.010331631E0,3.935929298E0,1.600000000E1
1.182123581E2,1.931275240E1,-9.918574735E1,2.325095370E3,2.317203369E3,3.500000000E0,3.290000000E2,5.659468489E-1,3.814892769E0,3.620763063E0,1.500000000E1
1.192123581E2,1.931278126E1,-9.918576653E1,2.326242072E3,2.318350098E3,3.359999895E0,3.398999939E2,5.691914356E-1,3.790092468E0,3.486599684E0,1.800000000E1
1.202123581E2,1.931280624E1,-9.918578251E1,2.326552594E3,2.318660645E3,3.480000019E0,3.168999939E2,5.728552813E-1,3.790092468E0,3.425150394E0,1.800000000E1
1.212123581E2,1.931282116E1,-9.918581364E1,2.326074350E3,2.318182373E3,3.140000105E0,3.002999878E2,5.757405580E-1,3.790092468E0,3.350698233E0,1.600000000E1
