"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.058823375E2,1.932396558E1,-9.917949764E1,2.289333002E3,2.281478760E3,4.199999869E-1,1.013000031E2,1.359181023E-1,2.151155281E1,6.985496998E0,1.300000000E1
1.068823375E2,1.932398108E1,-9.917948989E1,2.289604192E3,2.281750000E3,8.899999857E-1,7.680000305E1,1.371687328E-1,2.165454292E1,6.817066669E0,1.100000000E1
1.078823375E2,1.932398917E1,-9.917948161E1,2.289105622E3,2.281251465E3,7.799999714E-1,6.400000000E1,1.383077579E-1,2.256515121E1,6.703479290E0,1.100000000E1
1.088823375E2,1.932399474E1,-9.917947250E1,2.289165894E3,2.281311768E3,9.499999881E-1,7.640000153E1,1.392387268E-1,2.459839821E1,6.844215870E0,7.000000000E0
1.098823375E2,1.932399573E1,-9.917946369E1,2.288905620E3,2.281051514E3,1.080000043E0,9.169999695E1,1.400433421E-1,2.744120216E1,7.248339176E0,4.000000000E0
1.108823375E2,1.932399676E1,-9.917945610E1,2.289256189E3,2.281402100E3,6.800000072E-1,1.025999985E2,1.424768635E-1,3.078991508E1,7.822006702E0,5.000000000E0
1.118823375E2,1.932397728E1,-9.917944553E1,2.288837267E3,2.280983154E3,1.320000052E0,1.293000031E2,1.453890599E-1,2.078940201E1,7.429334641E0,5.000000000E0
1.128823375E2,1.932395347E1,-9.917943397E1,2.288125628E3,2.280271484E3,6.000000238E-1,1.360000000E2,1.471344187E-1,1.198881721E1,6.892023087E0,9.000000000E0
1.138823375E2,1.932393827E1,-9.917943812E1,2.290076598E3,2.282222412E3,5.400000215E-1,1.583999939E2,1.489862769E-1,1.097047901E1,7.342060089E0,1.000000000E1
1.148823375E2,1.932392334E1,-9.917944594E1,2.289583239E3,2.281729004E3,4.900000095E-1,1.470000000E2,1.503645603E-1,9.198076248E0,7.213407516E0,1.300000000E1
1.158823375E2,1.932391178E1,-9.917945068E1,2.288155052E3,2.280300781E3,5.899999738E-1,1.305000000E2,1.512645827E-1,8.632556915E0,7.125701904E0,1.500000000E1
1.168823375E2,1.932390374E1,-9.917944969E1,2.287991250E3,2.280136963E3,7.400000095E-1,8.430000305E1,1.516099782E-1,8.131748199E0,7.058365822E0,1.500000000E1
1.178823375E2,1.932390275E1,-9.917944657E1,2.286818638E3,2.278964355E3,8.100000024E-1,6.469999695E1,1.519534555E-1,7.977774620E0,6.993851185E0,1.500000000E1
1.188823375E2,1.932390231E1,-9.917944333E1,2.286526397E3,2.278672119E3,3.199999928E-1,7.509999847E1,1.520345822E-1,7.729552269E0,7.071624279E0,1.500000000E1
1.198823375E2,1.932390269E1,-9.917944399E1,2.286045684E3,2.278191406E3,2.700000107E-1,6.200000000E1,1.521541127E-1,7.627156258E0,6.797657967E0,1.500000000E1
1.208823375E2,1.932390370E1,-9.917944438E1,2.285835722E3,2.277981445E3,2.700000107E-1,5.179999924E1,1.524956509E-1,7.947103977E0,6.697032928E0,1.500000000E1
1.218823375E2,1.932390652E1,-9.917944309E1,2.285705098E3,2.277850830E3,3.300000131E-1,4.029999924E1,1.530728299E-1,8.160451889E0,6.660591125E0,1.200000000E1
1.228823375E2,1.932391171E1,-9.917944300E1,2.286232918E3,2.278378662E3,5.799999833E-1,2.439999962E1,1.539063126E-1,1.193122101E1,6.483757019E0,1.200000000E1
1.238823375E2,1.932391636E1,-9.917944923E1,2.283922129E3,2.276067871E3,7.699999809E-1,3.575000000E2,1.548284767E-1,1.209408665E1,6.306762695E0,1.200000000E1
1.248823375E2,1.932392444E1,-9.917944725E1,2.285808337E3,2.277954102E3,1.470000029E0,2.020000076E1,1.556818290E-1,1.231787014E1,6.319615364E0,1.400000000E1
1.258823375E2,1.932393017E1,-9.917944184E1,2.284811975E3,2.276957764E3,8.999999762E-1,3.650000000E1,1.561644118E-1,1.230081367E1,6.080906391E0,1.600000000E1
1.268823375E2,1.932393102E1,-9.917943733E1,2.283800246E3,2.275946045E3,8.399999738E-1,5.700000000E1,1.573029316E-1,1.230101871E1,6.271385670E0,1.400000000E1
1.278823375E2,1.932393254E1,-9.917942660E1,2.283450856E3,2.275596680E3,1.549999952E0,7.300000000E1,1.586668575E-1,1.259979057E1,6.226273537E0,1.500000000E1
1.288823375E2,1.932393335E1,-9.917941363E1,2.283783836E3,2.275929688E3,1.279999971E0,8.100000000E1,1.602057648E-1,1.307454491E1,6.112737179E0,1.400000000E1
1.298823375E2,1.932393516E1,-9.917939909E1,2.283933706E3,2.276079590E3,1.519999981E0,8.409999847E1,1.615453189E-1,1.379197121E1,6.058906078E0,1.300000000E1
1.308823375E2,1.932392330E1,-9.917939685E1,2.283853162E3,2.275999023E3,8.700000048E-1,9.659999847E1,1.642331469E-1,1.475840664E1,6.264767647E0,1.000000000E1
1.318823375E2,1.932390034E1,-9.917938884E1,2.284184985E3,2.276330811E3,1.730000019E0,1.209000015E2,1.658792939E-1,1.594106770E1,6.731452942E0,9.000000000E0
1.328823375E2,1.932388741E1,-9.917938120E1,2.284198427E3,2.276344238E3,1.179999948E0,1.363000031E2,1.695757258E-1,1.857530022E1,7.243721485E0,1.100000000E1
1.338823375E2,1.932385814E1,-9.917939790E1,2.283970499E3,2.276116211E3,1.799999952E0,1.601999969E2,1.945275894E-1,2.136533737E1,7.646592617E0,9.000000000E0
1.348823375E2,1.932372185E1,-9.917958681E1,2.284213124E3,2.276358154E3,3.029999971E0,2.231000061E2,1.988763697E-1,2.359958839E1,8.018612862E0,8.000000000E0
1.358823375E2,1.932369209E1,-9.917961370E1,2.284407581E3,2.276552490E3,3.380000114E0,2.215000000E2,1.999314331E-1,2.555557060E1,8.254687309E0,1.000000000E1
1.368823375E2,1.932368268E1,-9.917961499E1,2.284483532E3,2.276628418E3,2.109999895E0,2.111999969E2,2.010984283E-1,2.623857307E1,8.392423630E0,1.100000000E1
1.378823375E2,1.932367839E1,-9.917960484E1,2.285188844E3,2.277333740E3,1.389999986E0,2.146999969E2,2.017870247E-1,2.178104782E1,7.759315014E0,1.200000000E1
1.388823375E2,1.932368457E1,-9.917960442E1,2.283052111E3,2.275197021E3,1.309999943E0,2.260000000E2,2.030376426E-1,1.805898666E1,7.237329006E0,1.200000000E1
1.398823375E2,1.932368280E1,-9.917959265E1,2.282052336E3,2.274197266E3,1.960000038E0,2.048999939E2,2.054558742E-1,1.548937893E1,7.136681557E0,1.200000000E1
1.408823375E2,1.932370373E1,-9.917958639E1,2.282819610E3,2.274964600E3,2.099999934E-1,2.125000000E2,2.080310495E-1,1.465783024E1,7.088369846E0,1.200000000E1
1.418823375E2,1.932372657E1,-9.917958233E1,2.283999726E3,2.276144775E3,5.400000215E-1,1.876000061E2,2.102281033E-1,1.455606461E1,7.112416267E0,1.300000000E1
1.428823375E2,1.932374582E1,-9.917957761E1,2.284426431E3,2.276571533E3,2.899999917E-1,2.872000122E2,2.123801908E-1,1.518207741E1,7.601281643E0,1.300000000E1
1.438823375E2,1.932376481E1,-9.917957365E1,2.284414905E3,2.276560059E3,2.199999988E-1,2.835000000E2,2.137924225E-1,1.552437592E1,7.681506634E0,1.300000000E1
1.448823375E2,1.932377751E1,-9.917957377E1,2.284924887E3,2.277070068E3,2.500000000E-1,2.738999939E2,2.158668813E-1,1.567699528E1,7.609518528E0,1.300000000E1
1.458823375E2,1.932379584E1,-9.917957009E1,2.284594760E3,2.276739990E3,0.000000000E0,NaN,2.188032929E-1,1.604960251E1,7.826905727E0,1.100000000E1
1.468823375E2,1.932381893E1,-9.917955651E1,2.284352737E3,2.276498047E3,5.000000000E-1,8.169999695E1,2.213197832E-1,1.805376434E1,8.367341995E0,1.000000000E1
1.478823375E2,1.932383768E1,-9.917954308E1,2.284392951E3,2.276538330E3,4.799999893E-1,7.009999847E1,2.236897501E-1,2.141011238E1,9.199093819E0,6.000000000E0
1.488823375E2,1.932385410E1,-9.917952868E1,2.284646060E3,2.276791504E3,5.500000119E-1,6.320000076E1,2.256037802E-1,2.516984177E1,9.980451584E0,5.000000000E0
1.498823375E2,1.932386762E1,-9.917951739E1,2.284533458E3,2.276678955E3,5.400000215E-1,6.590000153E1,2.270979533E-1,2.967802620E1,1.077910709E1,5.000000000E0
1.508823375E2,1.932387801E1,-9.917950836E1,2.284410370E3,2.276555908E3,6.299999952E-1,7.330000305E1,2.280632337E-1,3.529941559E1,1.164705849E1,5.000000000E0
1.518823375E2,1.932388592E1,-9.917950457E1,2.284142766E3,2.276288330E3,3.700000048E-1,7.250000000E1,2.303452991E-1,4.275991058E1,1.278312492E1,4.000000000E0
1.528823375E2,1.932386881E1,-9.917949256E1,2.284164509E3,2.276310059E3,1.419999957E0,1.138000031E2,2.331188029E-1,4.472640991E1,1.362200069E1,3.000000000E0
1.538823375E2,1.932384916E1,-9.917947628E1,2.284285860E3,2.276431396E3,1.450000048E0,1.318999939E2,2.354861465E-1,5.345564270E1,1.476295567E1,5.000000000E0
1.548823375E2,1.932383081E1,-9.917946484E1,2.284223623E3,2.276369141E3,1.139999986E0,1.400000000E2,2.370994158E-1,6.446243286E1,1.618244171E1,4.000000000E0
1.558823375E2,1.932381764E1,-9.917945839E1,2.284205573E3,2.276351074E3,4.600000083E-1,1.438999939E2,2.384297323E-1,7.750595856E1,1.772039795E1,4.000000000E0
1.568823375E2,1.932380654E1,-9.917945366E1,2.284262474E3,2.276407959E3,7.799999714E-1,1.488999939E2,2.389316143E-1,9.278583527E1,1.938004494E1,4.000000000E0
1.578823375E2,1.932380721E1,-9.917945839E1,2.284148468E3,2.276293945E3,5.400000215E-1,1.546000061E2,2.400644712E-1,1.014484634E2,1.996319389E1,4.000000000E0
1.588823375E2,1.932380650E1,-9.917946916E1,2.283859672E3,2.276005127E3,5.600000024E-1,1.695000000E2,2.410712216E-1,1.101974335E2,2.004314423E1,5.000000000E0
1.598823375E2,1.932380435E1,-9.917947848E1,2.283896561E3,2.276041992E3,5.899999738E-1,1.901999969E2,2.420036670E-1,1.305050049E2,2.191852760E1,3.000000000E0
1.608823375E2,1.932380002E1,-9.917948609E1,2.283921488E3,2.276066895E3,8.299999833E-1,1.905000000E2,2.429008200E-1,1.535714417E2,2.389447212E1,3.000000000E0
1.618823375E2,1.932379378E1,-9.917949151E1,2.283895390E3,2.276040771E3,9.499999881E-1,1.723000031E2,2.437761212E-1,1.795093994E2,2.595483017E1,3.000000000E0
1.628823375E2,1.932378593E1,-9.917949213E1,2.283900536E3,2.276045898E3,1.059999943E0,1.623000031E2,2.448196362E-1,2.083601685E2,2.808019066E1,3.000000000E0
1.638823375E2,1.932377689E1,-9.917948946E1,2.283903237E3,2.276048584E3,1.159999967E0,1.581000061E2,2.453432409E-1,2.401025238E2,3.024887276E1,3.000000000E0
