"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.342949843E2,1.932226451E1,-9.917908009E1,2.294782801E3,2.286925537E3,9.500000000E0,1.113000031E2,6.402719299E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.352949843E2,1.932223703E1,-9.917899185E1,2.294736058E3,2.286878906E3,9.300000191E0,1.073000031E2,6.495826646E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.362949843E2,1.932221533E1,-9.917890615E1,2.295048925E3,2.287191895E3,9.380000114E0,1.035999985E2,6.587484061E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.372949843E2,1.932219259E1,-9.917882219E1,2.295467756E3,2.287610840E3,9.449999809E0,1.014000015E2,6.681255557E-1,3.790092468E0,2.500000000E0,1.700000000E1
1.382949843E2,1.932217261E1,-9.917873537E1,2.295295266E3,2.287438477E3,9.039999962E0,9.900000000E1,6.773125045E-1,3.790092468E0,2.500000000E0,2.200000000E1
1.392949843E2,1.932215847E1,-9.917864911E1,2.295780234E3,2.287923584E3,8.470000267E0,1.005999985E2,6.856459578E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.402949843E2,1.932214457E1,-9.917857107E1,2.295352865E3,2.287496338E3,7.920000076E0,1.000000000E2,6.920733455E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.412949843E2,1.932213820E1,-9.917851019E1,2.295710181E3,2.287853760E3,6.389999866E0,9.900000000E1,6.977125332E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.422949843E2,1.932212817E1,-9.917845751E1,2.294756242E3,2.286899902E3,4.780000210E0,9.919999695E1,7.017782599E-1,3.790092468E0,2.500000000E0,2.000000000E1
1.432949843E2,1.932212603E1,-9.917841883E1,2.294652655E3,2.286796387E3,3.440000057E0,1.014000015E2,7.051556259E-1,3.790092468E0,2.500000000E0,2.000000000E1
1.442949843E2,1.932212304E1,-9.917838680E1,2.293936778E3,2.286080566E3,2.710000038E0,9.840000153E1,7.083195067E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.452949843E2,1.932211992E1,-9.917835683E1,2.294069294E3,2.286213135E3,2.940000057E0,1.000000000E2,7.117340786E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.462949843E2,1.932211687E1,-9.917832445E1,2.294464500E3,2.286608398E3,3.650000095E0,9.730000305E1,7.161652539E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.472949843E2,1.932210970E1,-9.917828291E1,2.294385821E3,2.286529785E3,4.760000229E0,9.530000305E1,7.213913673E-1,3.790092468E0,2.500000000E0,2.000000000E1
1.482949843E2,1.932211036E1,-9.917823311E1,2.293595926E3,2.285739990E3,6.300000191E0,9.419999695E1,7.278656834E-1,3.790092468E0,2.500000000E0,1.700000000E1
